genus_name,type_species,parental_family,lpsn_no,nom_type,status,address
Desulfofustis,Desulfofustis glycolicus,Desulfobulbaceae,517014,775578,correct name,https://lpsn.dsmz.de/genus/desulfofustis
Vitiosangium,Vitiosangium cumulatum,Archangiaceae,519184,795329,correct name,https://lpsn.dsmz.de/genus/vitiosangium
Ardenticatena,Ardenticatena maritima,Ardenticatenaceae,518397,790973,correct name,https://lpsn.dsmz.de/genus/ardenticatena
Rhodonellum,Rhodonellum psychrophilum,Cyclobacteriaceae,517489,785801,correct name,https://lpsn.dsmz.de/genus/rhodonellum
Lyngbya,Lyngbya confervoides,Oscillatoriaceae,6337,6766,correct name,https://lpsn.dsmz.de/genus/lyngbya
Thermocoleostomius,,Oculatellaceae,39826,,correct name,https://lpsn.dsmz.de/genus/thermocoleostomius
Seongchinamella,Seongchinamella unica,Halieaceae,7248,7319,correct name,https://lpsn.dsmz.de/genus/seongchinamella
Chishuiella,Chishuiella changwenlii,Weeksellaceae,518602,792072,correct name,https://lpsn.dsmz.de/genus/chishuiella
Desulfatirhabdium,Desulfatirhabdium butyrativorans,Desulfobacteraceae,517745,787127,correct name,https://lpsn.dsmz.de/genus/desulfatirhabdium
Siculibacillus,Siculibacillus lacustris,Ancalomicrobiaceae,521815,800847,correct name,https://lpsn.dsmz.de/genus/siculibacillus
Aeropyrum,Aeropyrum pernix,Desulfurococcaceae,516966,772925,correct name,https://lpsn.dsmz.de/genus/aeropyrum
Desulfovirgula,Desulfovirgula thermocuniculi,Thermoanaerobacteraceae,517500,785856,correct name,https://lpsn.dsmz.de/genus/desulfovirgula
Paucidesulfovibrio,Paucidesulfovibrio longus,Desulfovibrionaceae,17406,17456,correct name,https://lpsn.dsmz.de/genus/paucidesulfovibrio
Urbifossiella,Urbifossiella limnaea,Gemmataceae,17733,17788,correct name,https://lpsn.dsmz.de/genus/urbifossiella
Ereboglobus,Ereboglobus luteus,Opitutaceae,520356,797591,correct name,https://lpsn.dsmz.de/genus/ereboglobus
Diplocolon,Diplocolon heppii,Scytonemataceae,17922,18540,correct name,https://lpsn.dsmz.de/genus/diplocolon
Streptacidiphilus,Streptacidiphilus albus,Streptomycetaceae,516684,781281,correct name,https://lpsn.dsmz.de/genus/streptacidiphilus
Echinimonas,Echinimonas agarilytica,"Echinimonadaceae",518301,790461,correct name,https://lpsn.dsmz.de/genus/echinimonas
Raineya,Raineya orbicola,Raineyaceae,520358,797610,correct name,https://lpsn.dsmz.de/genus/raineya
Faecalimonas,Faecalimonas umbilicata,Lachnospiraceae,519172,795293,correct name,https://lpsn.dsmz.de/genus/faecalimonas
Agaribacterium,Agaribacterium haliotis,Cellvibrionaceae,519260,796117,correct name,https://lpsn.dsmz.de/genus/agaribacterium
Rickettsiella,Rickettsiella popilliae,Coxiellaceae,517331,784809,correct name,https://lpsn.dsmz.de/genus/rickettsiella
Cereibacter,Cereibacter changlensis,Paracoccaceae,518688,792623,correct name,https://lpsn.dsmz.de/genus/cereibacter
Nisaea,Nisaea denitrificans,Thalassobaculaceae,516174,778667,correct name,https://lpsn.dsmz.de/genus/nisaea
Carboxydobrachium,Carboxydobrachium pacificum,Thermoanaerobacteraceae,517196,783607,misspelling,https://lpsn.dsmz.de/genus/carboxydobrachium
Sulfurivirga,Sulfurivirga caldicuralii,Piscirickettsiaceae,516710,785326,correct name,https://lpsn.dsmz.de/genus/sulfurivirga
Thermithiobacillus,Thermithiobacillus tepidarius,Thermithiobacillaceae,516775,782484,correct name,https://lpsn.dsmz.de/genus/thermithiobacillus
Aneurinibacillus,Aneurinibacillus aneurinilyticus,Paenibacillaceae,515136,773274,correct name,https://lpsn.dsmz.de/genus/aneurinibacillus
Cyanodorina,Cyanodorina ovalis,Microcystaceae,887,39744,correct name,https://lpsn.dsmz.de/genus/cyanodorina
Flavimaricola,Flavimaricola marinus,Roseobacteraceae,520409,798775,correct name,https://lpsn.dsmz.de/genus/flavimaricola
Trochiscia,,Merismopediaceae,8264,,correct name,https://lpsn.dsmz.de/genus/trochiscia
Halomonas,Halomonas elongata,Halomonadaceae,517051,776764,correct name,https://lpsn.dsmz.de/genus/halomonas
Neokomagataea,Neokomagataea thailandica,Acetobacteraceae,518091,789245,correct name,https://lpsn.dsmz.de/genus/neokomagataea
Trichococcus,Trichococcus flocculiformis,Carnobacteriaceae,516859,782847,correct name,https://lpsn.dsmz.de/genus/trichococcus
Parviterribacter,Parviterribacter kavangonensis,Parviterribacteraceae,518881,793793,correct name,https://lpsn.dsmz.de/genus/parviterribacter
Dokdonia,Dokdonia donghaensis,Flavobacteriaceae,515548,775812,correct name,https://lpsn.dsmz.de/genus/dokdonia
Mesotoga,Mesotoga prima,Kosmotogaceae,518237,790075,correct name,https://lpsn.dsmz.de/genus/mesotoga
Pigmentiphaga,Pigmentiphaga kullae,Alcaligenaceae,516332,779620,correct name,https://lpsn.dsmz.de/genus/pigmentiphaga
Fulvimarina,Fulvimarina pelagi,Aurantimonadaceae,515659,776328,correct name,https://lpsn.dsmz.de/genus/fulvimarina
Rummeliibacillus,Rummeliibacillus stabekisii,Caryophanaceae,517868,787882,correct name,https://lpsn.dsmz.de/genus/rummeliibacillus
Tolypothrix,Tolypothrix distorta,Tolypotrichaceae,6405,6837,correct name,https://lpsn.dsmz.de/genus/tolypothrix
Lusitaniella,Lusitaniella coriacea,Lusitaniellaceae,6326,6562,correct name,https://lpsn.dsmz.de/genus/lusitaniella
Alkalibacterium,Alkalibacterium olivapovliticum,Carnobacteriaceae,515081,30057,correct name,https://lpsn.dsmz.de/genus/alkalibacterium
Hormathonema,Hormathonema paulocellulare,Hydrococcaceae,6217,7682,correct name,https://lpsn.dsmz.de/genus/hormathonema
Mariniradius,Mariniradius saccharolyticus,Cyclobacteriaceae,518366,790844,correct name,https://lpsn.dsmz.de/genus/mariniradius
Cyclonatronum,Cyclonatronum proteinivorum,Cyclonatronaceae,36114,36115,correct name,https://lpsn.dsmz.de/genus/cyclonatronum
Oceanibaculum,Oceanibaculum indicum,Thalassobaculaceae,517880,787975,correct name,https://lpsn.dsmz.de/genus/oceanibaculum
Ignavigranum,Ignavigranum ruoffiae,Aerococcaceae,515845,777018,correct name,https://lpsn.dsmz.de/genus/ignavigranum
Terribacillus,Terribacillus saccharophilus,Bacillaceae,517499,785854,correct name,https://lpsn.dsmz.de/genus/terribacillus
Williamsoniiplasma,Williamsoniiplasma lucivorax,Mycoplasmataceae,4862,801380,correct name,https://lpsn.dsmz.de/genus/williamsoniiplasma
Caldora,Caldora penicillata,Coleofasciculaceae,6211,7049,correct name,https://lpsn.dsmz.de/genus/caldora
Maliponia,Maliponia aquimaris,Roseobacteraceae,518952,794201,correct name,https://lpsn.dsmz.de/genus/maliponia
Truepera,Truepera radiovictrix,Trueperaceae,516870,782885,correct name,https://lpsn.dsmz.de/genus/truepera
Methanosarcina,Methanosarcina barkeri,Methanosarcinaceae,517080,777927,correct name,https://lpsn.dsmz.de/genus/methanosarcina
