synonym,preferred,rank,address
Chlorobiota,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Ignavibacteriota,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Chlorobiota,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Ignavibacteriota,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Chlorobaeota,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Ignavibacteraeota,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Ignavibacteriae,Chlorobi,phylum,https://lpsn.dsmz.de/phylum/chlorobi
Synthermota,Thermotogae,phylum,https://lpsn.dsmz.de/phylum/thermotogae
Thermotogota,Thermotogae,phylum,https://lpsn.dsmz.de/phylum/thermotogae
Thermotogaeota,Thermotogae,phylum,https://lpsn.dsmz.de/phylum/thermotogae
Thermotogota,Thermotogae,phylum,https://lpsn.dsmz.de/phylum/thermotogae
Gemmatimonadaeota,Gemmatimonadetes,phylum,https://lpsn.dsmz.de/phylum/gemmatimonadetes
Gemmatimonadota,Gemmatimonadetes,phylum,https://lpsn.dsmz.de/phylum/gemmatimonadetes
Gemmatimonadota,Gemmatimonadetes,phylum,https://lpsn.dsmz.de/phylum/gemmatimonadetes
Mycoplasmatota,Tenericutes,phylum,https://lpsn.dsmz.de/phylum/tenericutes
Mollicutota,Tenericutes,phylum,https://lpsn.dsmz.de/phylum/tenericutes
Mollicutaeota,Tenericutes,phylum,https://lpsn.dsmz.de/phylum/tenericutes
Caldisericota,Caldiserica,phylum,https://lpsn.dsmz.de/phylum/caldiserica
Caldisericaeota,Caldiserica,phylum,https://lpsn.dsmz.de/phylum/caldiserica
Caldisericota,Caldiserica,phylum,https://lpsn.dsmz.de/phylum/caldiserica
Thermoproteaeota,Crenarchaeota,phylum,https://lpsn.dsmz.de/phylum/crenarchaeota
Thermoproteota,Crenarchaeota,phylum,https://lpsn.dsmz.de/phylum/crenarchaeota
Thermoproteota,Crenarchaeota,phylum,https://lpsn.dsmz.de/phylum/crenarchaeota
Chlamydiota,Chlamydiae,phylum,https://lpsn.dsmz.de/phylum/chlamydiae
Chlamydaeota,Chlamydiae,phylum,https://lpsn.dsmz.de/phylum/chlamydiae
Chlamydiota,Chlamydiae,phylum,https://lpsn.dsmz.de/phylum/chlamydiae
Chrysiogenaeota,Chrysiogenetes,phylum,https://lpsn.dsmz.de/phylum/chrysiogenetes
Chrysiogenetota,Chrysiogenetes,phylum,https://lpsn.dsmz.de/phylum/chrysiogenetes
Chrysiogenota,Chrysiogenetes,phylum,https://lpsn.dsmz.de/phylum/chrysiogenetes
Actinobacteraeota,Actinobacteria,phylum,https://lpsn.dsmz.de/phylum/actinobacteria
Actinomycetota,Actinobacteria,phylum,https://lpsn.dsmz.de/phylum/actinobacteria
Actinobacteriota,Actinobacteria,phylum,https://lpsn.dsmz.de/phylum/actinobacteria
Chlorobacteria,Chloroflexi,phylum,https://lpsn.dsmz.de/phylum/chloroflexi
Eobacteria,Chloroflexi,phylum,https://lpsn.dsmz.de/phylum/chloroflexi
Chloroflexota,Chloroflexi,phylum,https://lpsn.dsmz.de/phylum/chloroflexi
Chloroflexaeota,Chloroflexi,phylum,https://lpsn.dsmz.de/phylum/chloroflexi
Chloroflexota,Chloroflexi,phylum,https://lpsn.dsmz.de/phylum/chloroflexi
Posibacteria,Firmicutes,phylum,https://lpsn.dsmz.de/phylum/firmicutes
Firmacutes,Firmicutes,phylum,https://lpsn.dsmz.de/phylum/firmicutes
