name,type_name,parent,status,rank,address
Thalassocola,Thalassocola,Kiloniellaceae,correct name,genus,https://lpsn.dsmz.de/genus/thalassocola
Alterococcus,Alterococcus,Opitutaceae,correct name,genus,https://lpsn.dsmz.de/genus/alterococcus
Roseococcus,Roseococcus,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/roseococcus
Azomonas,Azomonas,Pseudomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/azomonas
Hydrogenophaga,Hydrogenophaga,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/hydrogenophaga
Syntrophotalea,Syntrophotalea,Syntrophotaleaceae,correct name,genus,https://lpsn.dsmz.de/genus/syntrophotalea
Chthonobacter,Chthonobacter,Pleomorphomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/chthonobacter
Haloactinospora,Haloactinospora,Nocardiopsidaceae,correct name,genus,https://lpsn.dsmz.de/genus/haloactinospora
Ammoniibacillus,Ammoniibacillus,Paenibacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/ammoniibacillus
Paraherbaspirillum,Paraherbaspirillum,Oxalobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/paraherbaspirillum
Mariprofundus,Mariprofundus,Mariprofundaceae,correct name,genus,https://lpsn.dsmz.de/genus/mariprofundus
Aureibacter,Aureibacter,Persicobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/aureibacter
Salinirubrum,Salinirubrum,Halobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/salinirubrum
Entomobacter,Entomobacter,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/entomobacter
Arboricoccus,Arboricoccus,Geminicoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/arboricoccus
Helicobacter,Helicobacter,Helicobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/helicobacter
Kordia,Kordia,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/kordia
Pelagihabitans,Pelagihabitans,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/pelagihabitans
Novibacillus,Novibacillus,Thermoactinomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/novibacillus
Heyndrickxia,Heyndrickxia,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/heyndrickxia
Flaviflexus,Flaviflexus,Actinomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/flaviflexus
Paraprevotella,Paraprevotella,Prevotellaceae,correct name,genus,https://lpsn.dsmz.de/genus/paraprevotella
Lipingzhangella,Lipingzhangella,Nocardiopsidaceae,correct name,genus,https://lpsn.dsmz.de/genus/lipingzhangella
